kda,dmg_to_champions,gold_diff_15,exp_diff_15,kill_participation,objective_damage,vision_score,gold_diff_end,exp_diff_end,role,win_loss
1.07,48938,-418,-615,29.4,13359,23,-1612,-2166,1,0
2.5,59898,2509,1698,58.8,65797,29,5329,6002,2,0
1.21,46051,106,779,33.3,8128,17,-4212,-4881,3,0
1.64,55392,108,-193,35.3,16493,23,529,-1968,4,0
1.07,9910,-708,631,29.4,4867,74,-4857,-3658,5,0
2.64,96613,418,615,44.6,9355,23,1612,2166,1,1
2.9,36880,-2509,-1698,44.6,53781,21,-5329,-6002,2,1
4.88,87575,-106,-779,60,32744,26,4212,4881,3,1
3.6,55569,-108,193,55.4,23239,25,-529,1968,4,1
2.92,57501,708,-631,53.8,4279,63,4857,3658,5,1
0.67,14265,-2651,-2165,28.6,2790,17,-4052,-3172,1,0
1.22,16081,-166,645,52.4,2894,21,-2994,-5774,2,0
1.5,17185,-217,977,42.9,3294,21,-1801,-621,3,0
1,13401,-686,-394,38.1,3705,18,-2598,-2400,4,0
1.83,14976,-745,149,52.4,547,76,-291,-960,5,0
2.5,28117,2651,2165,26.3,14007,15,4052,3172,1,1
6.67,19492,166,-645,52.6,53944,25,2994,5774,2,1
2.83,34544,217,-977,44.7,20271,21,1801,621,3,1
3.5,27028,686,394,36.8,20652,15,2598,2400,4,1
4,6603,745,-149,42.1,11613,62,291,960,5,1
2.5,20500,1940,1634,40.8,19977,14,-429,1779,1,1
3.8,20682,-897,-62,38.8,44344,16,-2875,2658,2,1
3.5,35181,845,-811,57.1,8241,21,2374,2561,3,1
3.88,46015,2296,856,63.3,18100,28,2227,112,4,1
5.33,12902,1156,1168,65.3,5419,86,2120,4226,5,1
1.08,31000,-1940,-1634,40,2401,16,429,-1779,1,0
3.43,29993,897,62,68.6,25020,20,2875,-2658,2,0
3.14,40160,-845,811,62.9,13289,21,-2374,-2561,3,0
1.8,23473,-2296,-856,51.4,5954,24,-2227,-112,4,0
1.25,8945,-1156,-1168,42.9,1140,96,-2120,-4226,5,0
0.29,12128,-1316,-2010,9.1,4605,14,-5504,-7800,1,0
0.75,15316,-2945,-1570,40.9,12544,22,-6302,-7464,2,0
1.57,20332,1296,157,50,4854,13,-634,-2144,3,0
1.56,21241,-74,306,63.6,2896,19,-448,-1825,4,0
5,8121,1007,-171,68.2,2458,60,439,-907,5,0
8,32392,1316,2010,42.1,9757,25,5504,7800,1,1
26,32913,2945,1570,68.4,39993,13,6302,7464,2,1
2.5,19831,-1296,-157,39.5,13003,18,634,2144,3,1
1.43,18085,74,-306,26.3,19402,22,448,1825,4,1
1.83,11061,-1007,171,28.9,5215,66,-439,907,5,1
9,17416,315,1068,39.1,20463,15,934,1691,1,1
13,16286,928,944,56.5,70258,17,4041,7209,2,1
3.33,10560,-391,-546,43.5,3624,20,841,1260,3,1
3.75,18128,64,-605,65.2,9353,19,1845,1361,4,1
5,11189,855,-330,65.2,2506,58,2637,2366,5,1
0.5,10622,-315,-1068,20,7691,7,-934,-1691,1,0
0.33,8070,-928,-944,30,6649,15,-4041,-7209,2,0
2.5,19794,391,546,50,5875,15,-841,-1260,3,0
1.33,8981,-64,605,40,2381,10,-1845,-1361,4,0
1.4,8477,-855,330,70,934,46,-2637,-2366,5,0
1,20971,-431,498,43.8,5128,23,-3684,-3606,1,0
0.62,16787,-73,12,31.2,28686,50,-5700,-8208,2,0
1.43,33752,-992,-988,62.5,3492,25,-1191,587,3,0
0.5,19367,-54,85,31.2,17926,19,-2330,-5357,4,0
1.17,6238,-321,-767,43.8,5121,63,-2939,-4740,5,0
5,17851,431,-498,39.5,15825,15,3684,3606,1,1
6,23578,73,-12,47.4,49640,33,5700,8208,2,1
5,16129,992,988,39.5,7036,17,1191,-587,3,1
2,26659,54,-85,36.8,17409,22,2330,5357,4,1
13,10332,321,767,34.2,5690,80,2939,4740,5,1
0.5,17922,520,0,9.1,2066,7,-2312,-5229,1,0
1.57,16624,-315,437,50,16165,21,-1233,-1959,2,0
1,24255,-17,416,40.9,10817,18,-4062,-4992,3,0
1.09,21347,216,415,54.5,2332,17,-3343,-2185,4,0
1.2,14477,-96,523,54.5,621,71,-2545,-4824,5,0
13,23162,-520,0,31.7,7726,15,2312,5229,1,1
5.8,12129,315,-437,70.7,31077,26,1233,1959,2,1
5.75,28552,17,-416,56.1,8641,20,4062,4992,3,1
4.12,36488,-216,-415,80.5,50561,30,3343,2185,4,1
8,8394,96,-523,78,6823,80,2545,4824,5,1
7.5,26995,2866,4842,41.7,15689,16,11194,17250,1,1
1,7747,-1116,-632,19.4,54292,29,-4092,-1562,2,1
2.5,15293,-739,138,27.8,9671,23,217,3715,3,1
2.62,22627,1440,905,58.3,36013,13,3003,3884,4,1
1.6,13943,280,-447,44.4,6472,48,-2007,-3328,5,1
5,19816,1116,632,64.5,5548,16,4092,1562,2,0
1.12,24564,739,-138,29,6450,22,-217,-3715,3,0
1,16385,-1440,-905,48.4,0,31,-3003,-3884,4,0
2.22,28039,-280,447,64.5,1419,29,2007,3328,5,0
0.55,10048,-2655,-1935,35.3,240,7,-5960,-4713,1,0
1.22,12922,888,1059,64.7,13189,13,543,-2553,2,0
0.9,11954,-1763,-1359,52.9,607,6,-3482,-3854,3,0
0.5,12878,-361,-142,23.5,9557,6,-5043,-3895,4,0
1,6709,-226,-1861,41.2,1453,41,-1773,-7361,5,0
11.5,27397,2655,1935,51.1,29414,13,5960,4713,1,1
5,7490,-888,-1059,33.3,26634,16,-543,2553,2,1
2.38,29077,1763,1359,42.2,11436,12,3482,3854,3,1
10,24592,361,142,44.4,12355,12,5043,3895,4,1
13.5,6328,226,1861,60,4244,34,1773,7361,5,1
1.56,22598,-852,-1834,25.9,9754,16,-8,585,1,1
